Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/kube/v1/api/tekton/pipeline,2,2,75,337.26409999999964,74.51509999999928,600.0131,195.0,0.40218847934342744,0.40218847934342744,600,600,600,600,600,600,600,600,600,600,600
GET,/kube/v1/api/tekton/task/list,7,7,520.0,544.5103571428567,234.93870000000072,846.7205,196.0,1.407659677701996,1.407659677701996,520,690,770,770,850,850,850,850,850,850,850
,Aggregated,9,9,520.0,498.4556333333329,74.51509999999928,846.7205,195.77777777777777,1.8098481570454235,1.8098481570454235,520,600,690,770,850,850,850,850,850,850,850
